content_id,client_id,position_tier,ctr,avg_position,engagement_rate,word_count,final_score,reason_code
content_e8729b6fec38,client_4e07408562,striking,0.76,10.2,6.12,2706.0,0.9941603527306809,low_scroll_engagement
content_7750e901635d,client_4e07408562,striking,0.67,10.6,5.34,2941.0,0.9933021677202727,low_scroll_engagement
content_5bf25bc67ebd,client_4e07408562,striking,0.57,13.2,7.78,2831.0,0.9885148742963051,low_scroll_engagement
content_454ad2864776,client_f369cb89fc,page_3_5,0.29,23.9,2.6,2827.0,0.9858373357742357,low_scroll_engagement
content_d52d69802c75,client_4e07408562,striking,0.74,11.3,7.69,2748.0,0.9857740952822865,low_scroll_engagement
content_1c4abe3464d7,client_f369cb89fc,page_1,1.18,5.3,1.85,2761.0,0.9851860326297998,low_scroll_engagement
content_649c63664f77,client_f369cb89fc,page_1,0.61,4.7,1.45,3130.0,0.9847178294530704,page_one_underperformer
content_670746e86425,client_4e07408562,page_3_5,0.32,20.4,12.75,2844.0,0.9838663150784004,low_scroll_engagement
content_eacbef5e9c0a,client_f369cb89fc,page_1,0.87,3.6,1.92,3003.0,0.9837909264732688,page_one_underperformer
content_c3e4231878b4,client_4e07408562,striking,0.54,15.5,11.48,2989.0,0.9831810525346042,low_scroll_engagement
content_c9189c302ff1,client_4e07408562,striking,0.34,17.6,15.25,2872.0,0.9820191481301086,low_scroll_engagement
content_d1be24388003,client_4e07408562,striking,0.64,13.5,13.56,2586.0,0.9819836622136598,low_scroll_engagement
content_556c5e4eb2de,client_4e07408562,page_3_5,0.29,34.7,5.0,2926.0,0.981119596743703,low_scroll_engagement
content_7ccd303329e2,client_4e07408562,striking,0.51,16.5,7.41,2944.0,0.981055162534479,low_scroll_engagement
content_864fec53a163,client_4e07408562,page_1,1.46,6.5,2.08,2817.0,0.9801159827628848,low_scroll_engagement
content_19d8ec05394d,client_e629fa6598,deep,0.83,54.1,0.0,1377.0,0.9800683489281731,general_review
content_d67d4369c4a3,client_f369cb89fc,page_1,0.94,3.3,2.44,2580.0,0.979805736628162,page_one_underperformer
content_a83ea5213bce,client_4e07408562,page_3_5,0.37,20.4,5.88,3050.0,0.9792433310193063,low_scroll_engagement
content_2525189bc72e,client_f369cb89fc,striking,0.41,14.3,3.23,2716.0,0.9785009400327467,low_scroll_engagement
content_c3071ba6b02b,client_f369cb89fc,top_3,0.98,2.5,1.79,2413.0,0.9770243172868929,page_one_underperformer
